day,hour,value
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,52929
1,7,56762
1,8,1466070
1,9,3775437
1,10,6659342
1,11,52603626
1,12,18697720
1,13,136916933
1,14,10231746
1,15,16468178
1,16,37138956
1,17,1766220
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,53973
2,7,175229
2,8,2275256
2,9,5005822
2,10,10486137
2,11,38139221
2,12,18256612
2,13,12795155
2,14,12103364
2,15,17333708
2,16,24290497
2,17,416928
2,18,0
2,19,0
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,54670
3,7,275057
3,8,1728575
3,9,5583557
3,10,16734626
3,11,44006486
3,12,38561661
3,13,11079506
3,14,12000181
3,15,43531513
3,16,17114494
3,17,91123
3,18,0
3,19,0
3,20,0
3,21,0
3,22,0
3,23,0
3,24,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,52929
4,7,56762
4,8,1466070
4,9,3775437
4,10,6659342
4,11,52603626
4,12,18697720
4,13,136916933
4,14,10231746
4,15,16468178
4,16,37138956
4,17,1766220
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,53973
5,7,175229
5,8,2275256
5,9,5005822
5,10,10486137
5,11,38139221
5,12,18256612
5,13,12795155
5,14,12103364
5,15,17333708
5,16,24290497
5,17,416928
5,18,0
5,19,0
5,20,0
5,21,0
5,22,0
5,23,0
5,24,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,54670
6,7,275057
6,8,1728575
6,9,5583557
6,10,16734626
6,11,44006486
6,12,38561661
6,13,11079506
6,14,12000181
6,15,43531513
6,16,17114494
6,17,91123
6,18,0
6,19,0
6,20,0
6,21,0
6,22,0
6,23,0
6,24,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,0
7,6,52929
7,7,56762
7,8,1466070
7,9,3775437
7,10,6659342
7,11,52603626
7,12,18697720
7,13,136916933
7,14,10231746
7,15,16468178
7,16,37138956
7,17,1766220
7,18,0
7,19,0
7,20,0
7,21,0
7,22,0
7,23,0
7,24,0